myo,timestamp,orientation.w,orientation.x,orientation.y,orientation.z,accelerometer.x,accelerometer.y,accelerometer.z,gyroscope.x,gyroscope.y,gyroscope.z
0,"808052475049",0.10546875,0.182861328125,-0.28326416015625,0.93548583984375,0.54833984375,-0.5498046875,0.56640625,-156.4375,142.375,-87.625
0,"808052497710",0.13079833984375,0.16162109375,-0.302490234375,0.93017578125,0.4697265625,-0.60302734375,0.55615234375,-148.3125,140.0625,-84.1875
0,"808052542764",0.15399169921875,0.14068603515625,-0.3197021484375,0.92425537109375,0.439453125,-0.6064453125,0.5458984375,-136.5625,135.8125,-75.5625
0,"808052550111",0.175048828125,0.1197509765625,-0.33563232421875,0.91778564453125,0.4296875,-0.61279296875,0.51708984375,-128.8125,132.8125,-65.4375
0,"808052557635",0.1944580078125,0.0989990234375,-0.35003662109375,0.91094970703125,0.39501953125,-0.60205078125,0.51025390625,-120.8125,129.375,-58.625
0,"808052580198",0.21270751953125,0.078369140625,-0.36370849609375,0.90350341796875,0.3818359375,-0.6337890625,0.52685546875,-117.25,127.1875,-53.6875
0,"808052625789",0.22955322265625,0.0576171875,-0.37603759765625,0.89581298828125,0.33056640625,-0.70849609375,0.517578125,-109.875,125.5,-47.6875
0,"808052626573",0.24481201171875,0.0382080078125,-0.385986328125,0.8885498046875,0.2919921875,-0.7724609375,0.46337890625,-93.4375,118.5,-42.9375
0,"808052655235",0.2589111328125,0.02008056640625,-0.3939208984375,0.88165283203125,0.28173828125,-0.7314453125,0.44580078125,-80.5625,112.3125,-39.4375
0,"808052662573",0.27197265625,0.00408935546875,-0.3992919921875,0.87554931640625,0.29736328125,-0.73388671875,0.38671875,-62.375,103.75,-37.8125
0,"808052677540",0.2847900390625,-0.01171875,-0.4034423828125,0.86944580078125,0.18994140625,-0.7841796875,0.42041015625,-56,102.5625,-38.125
0,"808052700010",0.295654296875,-0.02764892578125,-0.40966796875,0.86248779296875,0.1396484375,-0.85693359375,0.4921875,-57.5,94.375,-33.8125
0,"808052715027",0.303955078125,-0.0438232421875,-0.41693115234375,0.85546875,-0.052734375,-0.8212890625,0.22509765625,-53.125,82.6875,-29.75
